[4;33mReloaded modules[24m: Models, CustomOptimizers[0m
Versione tensorfolow: 2.1.0

SGD-HD, alpha_0=0.1, beta= 0.0001 (MNIST).
Epoch 10, Loss: 0.27895, Accuracy: 92.24, Test Loss: 0.27532, Test Accuracy: 92.12, Time:   7.2s
Epoch 11, Loss: 0.27708, Accuracy: 92.27, Test Loss: 0.2736, Test Accuracy: 92.17, Time:   7.0s
Epoch 12, Loss: 0.27553, Accuracy: 92.27, Test Loss: 0.27421, Test Accuracy: 92.14, Time:   7.2s
Epoch 13, Loss: 0.27393, Accuracy: 92.37, Test Loss: 0.27297, Test Accuracy: 92.33, Time:   7.3s
Epoch 14, Loss: 0.27256, Accuracy: 92.38, Test Loss: 0.27123, Test Accuracy: 92.35, Time:   7.1s
Epoch 15, Loss: 0.27136, Accuracy: 92.43, Test Loss: 0.27072, Test Accuracy: 92.21, Time:   7.1s
Epoch 16, Loss: 0.27042, Accuracy: 92.46, Test Loss: 0.27167, Test Accuracy: 92.13, Time:   7.0s
Epoch 17, Loss: 0.26947, Accuracy: 92.5, Test Loss: 0.27081, Test Accuracy: 92.2, Time:   6.9s
Epoch 18, Loss: 0.26848, Accuracy: 92.51, Test Loss: 0.2697, Test Accuracy: 92.25, Time:   7.1s
Epoch 19, Loss: 0.26769, Accuracy: 92.51, Test Loss: 0.26982, Test Accuracy: 92.25, Time:   7.1s
Epoch 20, Loss: 0.26695, Accuracy: 92.56, Test Loss: 0.26944, Test Accuracy: 92.3, Time:   7.3s
Epoch 21, Loss: 0.26609, Accuracy: 92.61, Test Loss: 0.26917, Test Accuracy: 92.34, Time:   7.1s
Epoch 22, Loss: 0.26541, Accuracy: 92.61, Test Loss: 0.26946, Test Accuracy: 92.22, Time:   7.1s
Epoch 23, Loss: 0.26491, Accuracy: 92.68, Test Loss: 0.26919, Test Accuracy: 92.28, Time:   7.3s
Epoch 24, Loss: 0.26427, Accuracy: 92.66, Test Loss: 0.26872, Test Accuracy: 92.33, Time:   7.1s
Epoch 25, Loss: 0.26382, Accuracy: 92.7, Test Loss: 0.26839, Test Accuracy: 92.31, Time:   7.4s
Epoch 26, Loss: 0.26325, Accuracy: 92.72, Test Loss: 0.26877, Test Accuracy: 92.32, Time:   8.1s
Epoch 27, Loss: 0.26306, Accuracy: 92.69, Test Loss: 0.2678, Test Accuracy: 92.44, Time:   7.2s
Epoch 28, Loss: 0.26257, Accuracy: 92.67, Test Loss: 0.268, Test Accuracy: 92.32, Time:   7.1s
Epoch 29, Loss: 0.26226, Accuracy: 92.74, Test Loss: 0.2682, Test Accuracy: 92.4, Time:   7.3s
Epoch 30, Loss: 0.26189, Accuracy: 92.74, Test Loss: 0.26763, Test Accuracy: 92.27, Time:   7.0s
Epoch 31, Loss: 0.26149, Accuracy: 92.73, Test Loss: 0.26728, Test Accuracy: 92.41, Time:   7.1s
Epoch 32, Loss: 0.2611, Accuracy: 92.8, Test Loss: 0.26718, Test Accuracy: 92.42, Time:   7.2s
Epoch 33, Loss: 0.2608, Accuracy: 92.81, Test Loss: 0.26752, Test Accuracy: 92.45, Time:   7.3s
Epoch 34, Loss: 0.26056, Accuracy: 92.81, Test Loss: 0.26705, Test Accuracy: 92.41, Time:   7.3s
Epoch 35, Loss: 0.26013, Accuracy: 92.83, Test Loss: 0.26706, Test Accuracy: 92.44, Time:   7.2s
Epoch 36, Loss: 0.25995, Accuracy: 92.81, Test Loss: 0.26699, Test Accuracy: 92.38, Time:   7.4s
Epoch 37, Loss: 0.25972, Accuracy: 92.8, Test Loss: 0.26662, Test Accuracy: 92.37, Time:   7.2s
Epoch 38, Loss: 0.25932, Accuracy: 92.82, Test Loss: 0.26733, Test Accuracy: 92.31, Time:   7.3s
Epoch 39, Loss: 0.25917, Accuracy: 92.81, Test Loss: 0.26656, Test Accuracy: 92.38, Time:   7.2s
Epoch 40, Loss: 0.25897, Accuracy: 92.85, Test Loss: 0.26663, Test Accuracy: 92.37, Time:   7.1s
Epoch 41, Loss: 0.25879, Accuracy: 92.84, Test Loss: 0.26646, Test Accuracy: 92.44, Time:   7.1s
Epoch 42, Loss: 0.2585, Accuracy: 92.85, Test Loss: 0.26664, Test Accuracy: 92.37, Time:   7.1s
Epoch 43, Loss: 0.25822, Accuracy: 92.85, Test Loss: 0.26607, Test Accuracy: 92.41, Time:   7.1s
Epoch 44, Loss: 0.25794, Accuracy: 92.87, Test Loss: 0.26617, Test Accuracy: 92.46, Time:   7.2s
Epoch 45, Loss: 0.25779, Accuracy: 92.87, Test Loss: 0.26642, Test Accuracy: 92.44, Time:   7.1s
Epoch 46, Loss: 0.25771, Accuracy: 92.88, Test Loss: 0.2665, Test Accuracy: 92.46, Time:   7.0s
Epoch 47, Loss: 0.25753, Accuracy: 92.85, Test Loss: 0.26675, Test Accuracy: 92.46, Time:   7.2s
Epoch 48, Loss: 0.25723, Accuracy: 92.85, Test Loss: 0.26566, Test Accuracy: 92.47, Time:   8.7s
Epoch 49, Loss: 0.25722, Accuracy: 92.87, Test Loss: 0.26624, Test Accuracy: 92.52, Time:   8.1s
Epoch 50, Loss: 0.25714, Accuracy: 92.9, Test Loss: 0.2659, Test Accuracy: 92.43, Time:   8.0s

SGD, alpha=0.01, (MNIST).
