Versione tensorfolow: 2.1.0

Adam-HD, alpha_0=0.1, beta= 10^-4 (MNIST).
Epoch 2, Loss: 0.28482, Accuracy: 91.98, Test Loss: 0.27397, Test Accuracy: 92.06, Time:   10.5s
Epoch 3, Loss: 0.27669, Accuracy: 92.3, Test Loss: 0.26778, Test Accuracy: 92.48, Time:   12.3s
Epoch 4, Loss: 0.27277, Accuracy: 92.36, Test Loss: 0.27387, Test Accuracy: 91.97, Time:   10.0s
Epoch 5, Loss: 0.26889, Accuracy: 92.52, Test Loss: 0.26713, Test Accuracy: 92.46, Time:   11.1s
Epoch 6, Loss: 0.26442, Accuracy: 92.62, Test Loss: 0.26831, Test Accuracy: 92.54, Time:   11.2s
Epoch 7, Loss: 0.26415, Accuracy: 92.59, Test Loss: 0.26752, Test Accuracy: 92.61, Time:   10.5s
Epoch 8, Loss: 0.26134, Accuracy: 92.73, Test Loss: 0.27417, Test Accuracy: 92.16, Time:   10.3s
Epoch 9, Loss: 0.25991, Accuracy: 92.82, Test Loss: 0.27677, Test Accuracy: 92.37, Time:   10.4s
Epoch 10, Loss: 0.26378, Accuracy: 92.56, Test Loss: 0.27866, Test Accuracy: 91.97, Time:   9.7s
Epoch 11, Loss: 0.26104, Accuracy: 92.76, Test Loss: 0.27547, Test Accuracy: 92.24, Time:   10.3s
Epoch 12, Loss: 0.25822, Accuracy: 92.82, Test Loss: 0.27625, Test Accuracy: 92.31, Time:   11.1s
Epoch 13, Loss: 0.25738, Accuracy: 92.88, Test Loss: 0.27134, Test Accuracy: 92.32, Time:   10.9s
Epoch 14, Loss: 0.25984, Accuracy: 92.78, Test Loss: 0.26557, Test Accuracy: 92.63, Time:   12.1s
Epoch 15, Loss: 0.25929, Accuracy: 92.75, Test Loss: 0.2693, Test Accuracy: 92.45, Time:   13.6s
Epoch 16, Loss: 0.2581, Accuracy: 92.81, Test Loss: 0.27147, Test Accuracy: 92.07, Time:   13.1s
Epoch 17, Loss: 0.25498, Accuracy: 92.91, Test Loss: 0.26994, Test Accuracy: 92.48, Time:   10.3s
Epoch 18, Loss: 0.25167, Accuracy: 92.97, Test Loss: 0.27018, Test Accuracy: 92.5, Time:   9.2s
Epoch 19, Loss: 0.25772, Accuracy: 92.81, Test Loss: 0.27067, Test Accuracy: 92.4, Time:   9.4s
Epoch 20, Loss: 0.25221, Accuracy: 92.92, Test Loss: 0.30317, Test Accuracy: 91.32, Time:   9.2s
Epoch 21, Loss: 0.25789, Accuracy: 92.71, Test Loss: 0.26895, Test Accuracy: 92.63, Time:   9.2s
Epoch 22, Loss: 0.24528, Accuracy: 93.33, Test Loss: 0.27097, Test Accuracy: 92.24, Time:   9.0s
Epoch 23, Loss: 0.25441, Accuracy: 92.86, Test Loss: 0.27111, Test Accuracy: 92.46, Time:   9.1s
Epoch 24, Loss: 0.24572, Accuracy: 93.09, Test Loss: 0.26757, Test Accuracy: 92.49, Time:   8.8s
Epoch 25, Loss: 0.24649, Accuracy: 93.21, Test Loss: 0.2797, Test Accuracy: 92.41, Time:   8.9s
Epoch 26, Loss: 0.25026, Accuracy: 92.95, Test Loss: 0.27313, Test Accuracy: 92.55, Time:   8.8s
Epoch 27, Loss: 0.24545, Accuracy: 93.21, Test Loss: 0.26687, Test Accuracy: 92.64, Time:   9.4s
Epoch 28, Loss: 0.24697, Accuracy: 93.11, Test Loss: 0.27792, Test Accuracy: 92.06, Time:   9.2s
Epoch 29, Loss: 0.24614, Accuracy: 93.12, Test Loss: 0.26721, Test Accuracy: 92.4, Time:   9.0s
Epoch 30, Loss: 0.24562, Accuracy: 93.15, Test Loss: 0.27991, Test Accuracy: 91.85, Time:   9.2s
Epoch 31, Loss: 0.24813, Accuracy: 93.05, Test Loss: 0.26869, Test Accuracy: 92.5, Time:   8.9s
Epoch 32, Loss: 0.24467, Accuracy: 93.14, Test Loss: 0.26579, Test Accuracy: 92.61, Time:   9.1s
Epoch 33, Loss: 0.24335, Accuracy: 93.19, Test Loss: 0.26605, Test Accuracy: 92.69, Time:   9.4s
Epoch 34, Loss: 0.24221, Accuracy: 93.26, Test Loss: 0.2669, Test Accuracy: 92.49, Time:   9.0s
Epoch 35, Loss: 0.24717, Accuracy: 93.04, Test Loss: 0.26548, Test Accuracy: 92.71, Time:   10.1s
Epoch 36, Loss: 0.24331, Accuracy: 93.26, Test Loss: 0.26788, Test Accuracy: 92.51, Time:   12.6s
Epoch 37, Loss: 0.24389, Accuracy: 93.19, Test Loss: 0.26851, Test Accuracy: 92.65, Time:   14.5s
Epoch 38, Loss: 0.24911, Accuracy: 93.07, Test Loss: 0.26632, Test Accuracy: 92.58, Time:   12.7s
Epoch 39, Loss: 0.24488, Accuracy: 93.15, Test Loss: 0.28779, Test Accuracy: 91.88, Time:   11.2s
Epoch 40, Loss: 0.25894, Accuracy: 92.77, Test Loss: 0.27289, Test Accuracy: 92.55, Time:   14.3s
Epoch 41, Loss: 0.24287, Accuracy: 93.24, Test Loss: 0.27412, Test Accuracy: 92.46, Time:   10.8s
Epoch 42, Loss: 0.24492, Accuracy: 93.17, Test Loss: 0.27446, Test Accuracy: 92.46, Time:   10.7s
Epoch 43, Loss: 0.24316, Accuracy: 93.19, Test Loss: 0.27338, Test Accuracy: 92.57, Time:   10.8s
Epoch 44, Loss: 0.24188, Accuracy: 93.26, Test Loss: 0.27968, Test Accuracy: 92.15, Time:   10.8s
Epoch 45, Loss: 0.24499, Accuracy: 93.14, Test Loss: 0.27283, Test Accuracy: 92.51, Time:   10.9s
Epoch 46, Loss: 0.23975, Accuracy: 93.25, Test Loss: 0.2702, Test Accuracy: 92.61, Time:   10.7s
Epoch 47, Loss: 0.23765, Accuracy: 93.36, Test Loss: 0.27397, Test Accuracy: 92.36, Time:   10.9s
Epoch 48, Loss: 0.24179, Accuracy: 93.26, Test Loss: 0.26722, Test Accuracy: 92.62, Time:   10.8s
Epoch 49, Loss: 0.23856, Accuracy: 93.39, Test Loss: 0.27062, Test Accuracy: 92.51, Time:   10.4s
Epoch 50, Loss: 0.24228, Accuracy: 93.24, Test Loss: 0.27484, Test Accuracy: 92.7, Time:   10.5s

Adam, alpha=0.01, (MNIST).
Epoch 1, Loss: 0.37657, Accuracy: 89.12, Test Loss: 0.30094, Test Accuracy: 91.42, Time:   7.2s
Epoch 2, Loss: 0.30126, Accuracy: 91.52, Test Loss: 0.28188, Test Accuracy: 92.11, Time:   7.2s
Epoch 3, Loss: 0.28858, Accuracy: 91.89, Test Loss: 0.27811, Test Accuracy: 92.16, Time:   7.2s
Epoch 4, Loss: 0.28136, Accuracy: 92.11, Test Loss: 0.27317, Test Accuracy: 92.29, Time:   7.4s
Epoch 5, Loss: 0.27681, Accuracy: 92.2, Test Loss: 0.27203, Test Accuracy: 92.3, Time:   7.2s
Epoch 6, Loss: 0.27342, Accuracy: 92.29, Test Loss: 0.26946, Test Accuracy: 92.33, Time:   7.1s
Epoch 7, Loss: 0.27058, Accuracy: 92.41, Test Loss: 0.26966, Test Accuracy: 92.42, Time:   7.3s
Epoch 8, Loss: 0.26863, Accuracy: 92.47, Test Loss: 0.2694, Test Accuracy: 92.51, Time:   7.2s
Epoch 9, Loss: 0.26687, Accuracy: 92.52, Test Loss: 0.26766, Test Accuracy: 92.37, Time:   7.6s
Epoch 10, Loss: 0.26528, Accuracy: 92.64, Test Loss: 0.26819, Test Accuracy: 92.37, Time:   7.3s
Epoch 11, Loss: 0.26392, Accuracy: 92.57, Test Loss: 0.26695, Test Accuracy: 92.29, Time:   7.2s
Epoch 12, Loss: 0.26281, Accuracy: 92.67, Test Loss: 0.2666, Test Accuracy: 92.36, Time:   7.1s
Epoch 13, Loss: 0.26168, Accuracy: 92.66, Test Loss: 0.26614, Test Accuracy: 92.42, Time:   7.2s
Epoch 14, Loss: 0.26077, Accuracy: 92.71, Test Loss: 0.26538, Test Accuracy: 92.3, Time:   7.2s
Epoch 15, Loss: 0.25975, Accuracy: 92.77, Test Loss: 0.26513, Test Accuracy: 92.53, Time:   9.5s
Epoch 16, Loss: 0.25898, Accuracy: 92.76, Test Loss: 0.26482, Test Accuracy: 92.45, Time:   7.5s
Epoch 17, Loss: 0.25843, Accuracy: 92.81, Test Loss: 0.26381, Test Accuracy: 92.55, Time:   8.2s
Epoch 18, Loss: 0.25769, Accuracy: 92.82, Test Loss: 0.26446, Test Accuracy: 92.46, Time:   7.5s
Epoch 19, Loss: 0.25713, Accuracy: 92.83, Test Loss: 0.26426, Test Accuracy: 92.48, Time:   7.3s
Epoch 20, Loss: 0.25667, Accuracy: 92.87, Test Loss: 0.26416, Test Accuracy: 92.41, Time:   7.4s
Epoch 21, Loss: 0.25606, Accuracy: 92.89, Test Loss: 0.26382, Test Accuracy: 92.47, Time:   7.3s
Epoch 22, Loss: 0.25527, Accuracy: 92.92, Test Loss: 0.26308, Test Accuracy: 92.47, Time:   7.4s
Epoch 23, Loss: 0.25492, Accuracy: 92.92, Test Loss: 0.26423, Test Accuracy: 92.45, Time:   7.5s
Epoch 24, Loss: 0.25434, Accuracy: 92.89, Test Loss: 0.26302, Test Accuracy: 92.43, Time:   7.5s
Epoch 25, Loss: 0.25418, Accuracy: 92.96, Test Loss: 0.26334, Test Accuracy: 92.54, Time:   7.4s
Epoch 26, Loss: 0.25351, Accuracy: 92.97, Test Loss: 0.26239, Test Accuracy: 92.61, Time:   7.3s
Epoch 27, Loss: 0.25319, Accuracy: 92.98, Test Loss: 0.26246, Test Accuracy: 92.6, Time:   7.3s
Epoch 28, Loss: 0.25287, Accuracy: 92.98, Test Loss: 0.26224, Test Accuracy: 92.48, Time:   7.3s
Epoch 29, Loss: 0.25236, Accuracy: 93.02, Test Loss: 0.263, Test Accuracy: 92.46, Time:   7.3s
Epoch 30, Loss: 0.25212, Accuracy: 93.0, Test Loss: 0.26304, Test Accuracy: 92.45, Time:   7.2s
Epoch 31, Loss: 0.25184, Accuracy: 92.98, Test Loss: 0.26295, Test Accuracy: 92.41, Time:   7.2s
Epoch 32, Loss: 0.25142, Accuracy: 93.06, Test Loss: 0.26235, Test Accuracy: 92.55, Time:   7.3s
Epoch 33, Loss: 0.25128, Accuracy: 93.06, Test Loss: 0.26213, Test Accuracy: 92.58, Time:   7.2s
Epoch 34, Loss: 0.25082, Accuracy: 93.06, Test Loss: 0.26263, Test Accuracy: 92.54, Time:   7.3s
Epoch 35, Loss: 0.25067, Accuracy: 93.05, Test Loss: 0.26224, Test Accuracy: 92.55, Time:   7.2s
Epoch 36, Loss: 0.25021, Accuracy: 93.07, Test Loss: 0.26192, Test Accuracy: 92.54, Time:   7.2s
Epoch 37, Loss: 0.25014, Accuracy: 93.09, Test Loss: 0.2616, Test Accuracy: 92.49, Time:   7.2s
Epoch 38, Loss: 0.24982, Accuracy: 93.09, Test Loss: 0.2627, Test Accuracy: 92.48, Time:   7.3s
Epoch 39, Loss: 0.24973, Accuracy: 93.09, Test Loss: 0.26168, Test Accuracy: 92.53, Time:   7.3s
Epoch 40, Loss: 0.24936, Accuracy: 93.1, Test Loss: 0.26148, Test Accuracy: 92.53, Time:   7.3s
Epoch 41, Loss: 0.24902, Accuracy: 93.1, Test Loss: 0.2617, Test Accuracy: 92.54, Time:   7.2s
Epoch 42, Loss: 0.2489, Accuracy: 93.13, Test Loss: 0.26143, Test Accuracy: 92.54, Time:   7.2s
Epoch 43, Loss: 0.24859, Accuracy: 93.12, Test Loss: 0.26126, Test Accuracy: 92.54, Time:   7.3s
Epoch 44, Loss: 0.24842, Accuracy: 93.15, Test Loss: 0.26182, Test Accuracy: 92.5, Time:   9.9s
Epoch 45, Loss: 0.24831, Accuracy: 93.13, Test Loss: 0.26139, Test Accuracy: 92.57, Time:   8.7s
Epoch 46, Loss: 0.24808, Accuracy: 93.15, Test Loss: 0.2611, Test Accuracy: 92.64, Time:   8.2s
Epoch 47, Loss: 0.2479, Accuracy: 93.15, Test Loss: 0.26154, Test Accuracy: 92.51, Time:   8.0s
Epoch 48, Loss: 0.24764, Accuracy: 93.13, Test Loss: 0.26077, Test Accuracy: 92.45, Time:   7.9s
Epoch 49, Loss: 0.24751, Accuracy: 93.15, Test Loss: 0.26112, Test Accuracy: 92.57, Time:   8.2s
Epoch 50, Loss: 0.24735, Accuracy: 93.18, Test Loss: 0.26173, Test Accuracy: 92.62, Time:   9.4s

Adam-HD, alpha_0=0.001, beta= 10^-4 (MNIST).
Epoch 1, Loss: 0.3568, Accuracy: 89.71, Test Loss: 0.29336, Test Accuracy: 91.42, Time:   12.5s
Epoch 2, Loss: 0.28367, Accuracy: 91.96, Test Loss: 0.27317, Test Accuracy: 92.14, Time:   11.7s
Epoch 3, Loss: 0.27606, Accuracy: 92.32, Test Loss: 0.26751, Test Accuracy: 92.43, Time:   12.4s
